Filename                                                                                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncJoinedSequence.swift                                                                          20                20     0.00%           5                 5     0.00%          44                44     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncRemoveDuplicatesSequence.swift                                                                31                31     0.00%          12                12     0.00%          62                62     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncShareSequence.swift                                                                          189               189     0.00%          63                63     0.00%         682               682     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncSyncSequence.swift                                                                             7                 7     0.00%           5                 5     0.00%          19                19     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncThrottleSequence.swift                                                                        28                28     0.00%          12                12     0.00%          67                67     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncThrowingExclusiveReductionsSequence.swift                                                     16                16     0.00%           7                 7     0.00%          40                40     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncThrowingInclusiveReductionsSequence.swift                                                     15                15     0.00%           5                 5     0.00%          28                28     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncTimerSequence.swift                                                                           13                13     0.00%           7                 7     0.00%          36                36     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/Buffer/AsyncBufferSequence.swift                                                                   26                26     0.00%          14                14     0.00%          56                56     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/Buffer/BoundedBufferStateMachine.swift                                                            111               111     0.00%          43                43     0.00%         273               273     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/Buffer/BoundedBufferStorage.swift                                                                  64                64     0.00%          19                19     0.00%         307               307     0.00%           0                 0         -
